28	28:54923	22:1306	UDP	1024	250	42.0	33.0	100.0	100.0	0.3
8	8:61576	16:993	UDP	1024	250	31.0	40.0	100.0	100.0	0.3
8	8:51199	28:2330	UDP	1024	250	45.0	46.0	100.0	100.0	0.3
13	13:51886	14:3151	UDP	1024	250	14.0	50.0	100.0	100.0	0.3
15	15:52821	12:4247	UDP	1024	250	41.0	29.0	100.0	100.0	0.3
29	29:61785	18:4519	UDP	1024	250	45.0	46.0	100.0	100.0	0.3
9	9:57066	22:2329	UDP	1024	250	45.0	39.0	100.0	100.0	0.3
16	16:64522	1:3049	UDP	1024	250	24.0	49.0	100.0	100.0	0.3
8	8:60810	10:4315	UDP	1024	250	48.0	48.0	100.0	100.0	0.3
9	9:58581	14:2486	UDP	1024	250	21.0	31.0	100.0	100.0	0.3
26	26:58256	20:1773	UDP	1024	250	38.0	45.0	100.0	100.0	0.3
19	19:63859	17:1757	UDP	1024	250	31.0	32.0	100.0	100.0	0.3
21	21:57331	19:88	UDP	1024	250	24.0	34.0	100.0	100.0	0.3
28	28:55108	22:3322	UDP	1024	250	33.0	48.0	100.0	100.0	0.3
4	4:55066	16:3716	UDP	1024	250	18.0	43.0	100.0	100.0	0.3
2	2:57164	22:835	UDP	1024	250	37.0	41.0	100.0	100.0	0.3
17	17:61203	8:4992	UDP	1024	250	39.0	39.0	100.0	100.0	0.3
19	19:55139	5:2894	UDP	1024	250	29.0	40.0	100.0	100.0	0.3
11	11:55453	2:4950	UDP	1024	250	48.0	34.0	100.0	100.0	0.3
